,0,1,2
500,1.0,1.0,1.0
1000,1.0,1.0,1.0
1500,0.9,1.0,1.0
2000,1.0,1.0,1.0
2500,1.0,1.0,1.0
3000,1.0,1.0,1.0
3500,0.6,1.0,1.0
4000,0.6,1.0,1.0
4500,0.8,1.0,1.0
5000,0.8,1.0,1.0
5500,0.7,1.0,1.0
6000,0.8,1.0,1.0
6500,0.9,1.0,1.0
7000,0.9,1.0,1.0
7500,0.7,1.0,1.0
8000,0.6,1.0,1.0
8500,0.9,1.0,1.0
9000,0.6,1.0,1.0
9500,0.5,1.0,1.0
10000,0.7,1.0,1.0
