,0,1,2
500,22.3,3.6,1.6
1000,9.6,2.0,2.0
1500,17.666666666666668,2.1,1.6
2000,16.4,2.3,3.2
2500,31.7,2.0,1.9
3000,22.1,1.6,1.8
3500,25.5,1.8,3.4
4000,14.833333333333334,1.8,1.4
4500,22.5,1.4,1.6
5000,36.25,1.5,3.6
5500,39.285714285714285,1.6,2.3
6000,42.125,1.5,2.1
6500,33.44444444444444,2.8,1.5
7000,26.333333333333332,2.4,2.3
7500,45.285714285714285,2.0,2.5
8000,33.333333333333336,2.2,3.3
8500,34.333333333333336,1.4,2.8
9000,22.833333333333332,2.9,2.6
9500,59.4,1.5,3.2
10000,30.0,2.6,2.4
