,0,1,2,3
500,1.4,1.0,1.0,1.05
1000,1.8,1.2,1.05,1.1
1500,2.35,1.3,1.0,1.15
2000,1.9,1.1,1.3,1.2
2500,2.1,1.2,1.0,1.1
3000,2.0,1.45,1.15,1.35
3500,2.45,1.1,1.65,1.15
4000,3.15,1.8,1.5,1.1
4500,2.45,1.25,1.35,1.4
5000,2.65,1.35,1.3,1.65
5500,3.85,1.45,1.35,1.5
6000,2.95,1.8,1.25,1.2
6500,3.2,1.25,1.65,1.45
7000,2.5,1.4,1.35,1.95
7500,6.05,1.5,1.7,1.95
8000,5.05,1.7,1.7,1.4
8500,4.7,1.35,1.55,1.8
9000,6.05,1.7,1.6,1.75
9500,3.65,1.9,1.85,1.5
10000,7.5,2.15,1.95,1.7
