,0,1,2,3
500,1.2,1.8,1.3,1.5
1000,1.5,1.7,2.2,1.9
1500,1.1,2.7,2.4,1.7
2000,2.1,2.2,2.1,1.7
2500,1.6,2.2,1.6,2.5
3000,3.1,2.9,1.6,2.4
3500,2.8,2.6,1.8,2.4
4000,2.2,3.1,2.1,2.2
4500,2.1,2.8,3.1,2.4
5000,3.4,5.0,3.2,2.5
5500,3.4,4.4,3.3,4.0
6000,3.7,3.3,2.1,1.9
6500,2.6,4.4,2.3,3.6
7000,5.1,5.9,4.4,3.3
7500,3.0,5.1,2.0,4.2
8000,4.8,3.0,4.9,2.9
8500,5.8,3.0,3.0,4.5
9000,5.7,3.2,5.4,6.3
9500,4.6,4.7,3.7,2.9
10000,3.0,3.4,3.4,5.1
