,0,1
100,0.8,1.0
200,0.7,1.0
300,0.6,1.0
400,0.6,1.0
500,0.5,1.0
600,0.6,1.0
700,0.5,1.0
800,0.4,1.0
900,0.6,1.0
1000,0.2,1.0
1100,0.6,1.0
1200,0.3,1.0
1300,0.2,1.0
1400,0.4,1.0
1500,0.3,1.0
1600,0.4,1.0
1700,0.1,1.0
1800,0.2,1.0
1900,0.3,1.0
2000,0.1,1.0
