,0,1
100,16.625,43.3
200,38.714285714285715,89.0
300,54.666666666666664,138.2
400,116.0,262.4
500,157.6,375.0
600,173.16666666666666,394.3
700,222.8,515.5
800,161.75,512.8
900,292.6666666666667,650.5
1000,519.0,765.1
1100,882.6666666666666,1164.5
1200,514.3333333333334,1123.9
1300,1311.0,931.7
1400,1276.5,1225.5
1500,941.0,967.0
1600,627.0,1132.7
1700,435.0,1059.1
1800,208.5,1139.0
1900,2521.3333333333335,1212.8
2000,1118.0,1582.5
